Document,time,Topic
остров выздоровления посреди зоны сво работает уникальный военный госпиталь устроенный исключительно фронтовому опыту где донбассе нашел свой уголок небольшой непохожий другие фронтовые госпитали лазарет него есть целый ряд исключительных отличий например свой ремонтный цех для эвакуационных реанимобилей которые тоже своем роде единственные это авторская разработка начмеда непосредственного основателя госпиталя позывным буля команды буля воевал еще сирии половину сво прошел штурмовиком том что имеет высших образования техническое медицинское потом перешел ахмат здесь же приложил свои богатые знания бесценный опыт поддержке руководства подразделения основав госпитальный комплекс где осуществляется фактически полный цикл действий первой помощи эвакуации выздоровления реабилитации автопарк булямобилей ремонтный цех для них палаты оборудование для рентгена операционная домик досуга где есть телевизор игровая консоль даже бильярдный стол отдельно почти стенка стенке свои маленькие православная часовня георгия победоносца мечеть где пациенты персонал могут помолиться облегчить душу это есть госпитале этом сделано многом усилиями энтузиастов отчасти кустарным методом здесь было никакой проектной стройки создавалось того что было что удалось привезти словам були который гостеприимно встретил провел экскурсию для военкора изабеллы либерман здесь них реализовано практическое понимание чем должны заниматься реабилитационных центрах тыловым большим учреждениям такого типа будет крайне полезно перенять часть опыта,2025-03-02 16:14:58,5
мурашко заявил что дефицит работников среднего медицинского персонала стране составляет порядка тыс человек министр здравоохранения михаил мурашко заседании госдуме заявил что стране хватает около тыс человек среднего медицинского персонала последнему относятся специалисты средним медобразованием это медсестры акушерки фельдшеры различные помощники фармацевты другие словам мурашко дефицит кадров наблюдается также среди врачей составляет порядка тыс специалистов время пандемии количество врачей сократилось тыс затем цифра упала тыс начиная года число специалистов увеличилось тыс министр добавил что общий прирост врачебному персоналу россии год составил порядка тыс человек тенденция кадрового голода среди врачей постепенно утихает говорить том что ситуация переломлена пока рано правительство прорабатывает проблемные отрасли так ранее писала врачи входят востребованных профессий ближайшие для того чтобы побороть просадку специалистам вводятся специальные решения году самым дефицитным направлениям ординатуры отдали льготные места под целевое обучение чтобы будущих специалистов была возможность учиться врачей бесплатно далее студенты направляются работу заранее выбранные места тем самым закрывая кадровую нехватку определенных медучреждениях помимо прочего этом учебном году будущим педиатрам фельдшерам выделили квот целевое обучение среди бюджетных мест,2025-02-25 11:00:01,5
для перевода класс школьники регионах том числе москве должны будут набрать минимальные баллы огэ тасс школьники набравшие минимум огэ для перехода класс получат преимущество поступлении колледжи бюджет регионах,2025-02-28 10:58:34,3
летний москвич пережил остановок сердца сутки работу органа теле поддерживал только дефибриллятор моменту госпитализации был почти разряжен мужчина находился грани жизни смерти врачи провели сложную часовую операцию полностью восстановив работу сердца,2025-02-17 07:48:40,5
средняя зарплата москве составила выше зарплаты чукотке ямало ненецком автономном округе подмосковье средняя зарплата,2025-02-28 04:01:06,2
москве будут ремонтировать школ каждый год обновят кабинеты мебель оборудование сделают уютные места отдыха адреса можно посмотреть тут также увеличат финансирование введут городские учебные курсы предметам олимпиады для выявления талантов колледжах увеличат число бюджетных мест для столичных девятиклассников,2025-02-26 08:34:13,3
россии сейчас хватает почти врачей дефицицит среднего медперсонала оценивается человек быстро попадаете нужному врачу,2025-02-25 07:16:27,5
яндекс году планирует сокращения сотрудников итогам года выручка яндекса впервые превысила трлн рублей численность персонала выросла компания заявляет что для дальнейшего роста развития бизнеса будет продолжать найм ранее сми сообщали волне массовых сокращений ряде крупных компаний россии так рубежом,2025-02-20 14:14:41,2
москве спасли летнего пациента которого сутки остановилось сердце врачи больницы им буянова впервые своей практике выполнили операцию сердце методом радиочастотной катетерной абляции поддержке аппарата экмо так стандартная операция была для этого пациента невозможна,2025-02-17 07:09:06,5
так школе сцене актовом зале фоткали всем классом,2025-03-02 18:43:42,3
приставы мусора одна контора одни люди работают,2025-03-02 18:03:14,2
приставы всегда зарплатой размере мрот они только реализации живут,2025-03-02 17:52:46,2
хорошо что для бойцов столько делается сейчас даже такие вот госпитали очень важная штука,2025-03-02 19:21:22,5
есть желание приехать лично увидеть весь цикл помощи этом кустарном госпитале,2025-03-02 19:16:21,5
кстати есть простой способ проверить уровень госпиталя сервиса достаточно пойти защищать родину свой народ попасть передок получить ранение выжить вуа госпитале уже первого лица наблюдаешь происходящее уверяю тебя голословно будешь приятно удивлен возможно даже ошеломлен что некоторые действительно работают результат работать что работать,2025-03-02 18:36:35,5
госпиталя больницы зачем говоришь разруха это неправда тебе больше скажу даже вши встречаются медики санитарки работают,2025-03-02 18:33:57,5
еще надо выдумывать кустарный паровоз задача медиков эшелона это вывезти бойца стабилизировать состояние лечением занимаются эшелон полевых госпиталях тылу эшелон это распред центры стационарные госпиталя надо рушить нашу систему можно конечно передовой операции делать если выхода нет сколько выживет операция это половина успеха вторая это уход стерильность статья явно заказная,2025-03-02 18:08:24,5
еще ситуация непонятна статья провокационна упрекают наши госпиталя больницы тылу профессионализме могут такие кустарно сделанные госпиталя оказывать весь цикл помощи лучше админом комменты закрыть,2025-03-02 17:47:15,5
один лучших военный госпиталь лучшие военные врачи герои нашего времени спасибо им большое низкий поклон,2025-03-02 17:46:56,5
медицинская рота бригады проводит операции которые проводят даже гражданке буля собрал лучших врачей знанием своего дела таких командиров нужно еще поискать это человек который только руководит делом помогает бойцам поступившим госпиталь диванным критикам могу только предложить приехать сюда своим примером показать нужно воевать лечить больных,2025-03-02 17:32:44,5
прикинь знаю ним время получили только дают врачам подскажи какая врачебная специальность него тупо отжал госпиталь который сделал ленин вот кто герой кстати реальный врач кричит каждом углу это когда вагнер сделал под руководством ленина там было чисто прибрано люди работали бильярд играли так себе уровень просто засрать совершенство,2025-03-02 17:24:41,5
непонятный репортаж одной стороны есть госпиталь подскока ремонтируют авто проходят реабилитацию другой видна антисанитария видно что эвакуация плохо налажена реальные больницы госпиталя кто служил чеченскую кампанию чвк вагнер вряд ушел ахмат,2025-03-02 17:23:02,5
соглашусь многими комментариями сути это меняет госпиталь делал буля другие компетентные люди работают там компетентные люди них слова везде буля сделал остальные просто пролете,2025-03-02 17:19:18,5
исключительный результат работы есть где либо подобные госпиталя ответ очевиден нет даже вне зоны боевых действий тут результат слаженной работы профессионалов иначе нельзя сказать спасенные жизни настоящих героев моему это лучшая награда труды думаю кто здесь проходил лечение один голос скажут какими маэстро являются люди трудящиеся благо ребят атмосфера почти домашняя моментами забываешь что находишься госпитале лично был здесь видел происходящее воочию браво ребята просто браво низкий поклон вам ваши труды тех кто сидит диване пытается очернить труд других людей всегда будет хватать факты вещь упрямая сухая факт здесь один огромное количество спасенных жизней браво ребята продолжайте том же духе,2025-03-02 17:14:38,5
дискуссии работаю этом госпитале лжи репортаже нет,2025-03-02 17:12:17,5
скоро вернемся таких дебилов помощи копов втаптывать будем,2025-03-02 18:38:39,4
что охрана имеет право досматривать дохрена они себя берут нет них такого права только сотрудники полиции это закон жаль парня дурной,2025-03-02 16:48:01,4
охранники выполняют свою работу нужно ходить там быковать орать весь торговый центр,2025-03-02 15:43:31,4
отмахнулся больнице крайне тяжелом состоянии взаимоисключающие параграфы,2025-03-02 18:47:58,5
прохожие странные стоят спокойно разглядывают скорую мгновенно нельзя набрать полицию,2025-03-02 14:55:45,4
палата номер когда один пациентов сказал рагину доктору почему здесь держите ведь воле столько сумасшедших которых нет диагноза,2025-03-02 14:08:37,5
видел летом подобное врачу очередь занимали мне кажется это же люди они для меня они лицо,2025-03-02 20:34:27,5
это научные сотрудники врачи поэты журналистами спешат работу,2025-03-02 13:33:52,5
сейчас поколение идиотов только отчима доведут учителя страдают вшие дети пошли так что факт что этот отпрыск правокатор порой хватает ремня этому поколению,2025-03-02 14:06:46,3
вот тут хватает полиции предыдущей новости самокат чтобы отчима скрутили попинали немного для успокоения,2025-03-02 12:17:06,4
расскажи такие вещи полицейским следующем крокусе когда будешь визжать полиция памагаите никто поможет потому что они мужички,2025-03-02 22:34:43,4
нет любые требования полиции нужно выполнять россия это кишлак правовое государство если имелись основания для доставление вас отдел полиции например вас отсутствовали документы удостоверяющие личность неповиновение законному распоряжению требованию сотрудника полиции связи исполнением ими обязанностей охране общественного порядка обеспечению общественной безопасности равно воспрепятствование исполнению ими служебных обязанностей вас могут привлечь административной ответственности коап рф данное правонарушение влечет наложение административного штрафа размере пятисот одной тысячи рублей административный арест срок пятнадцати суток,2025-03-02 22:04:38,4
иди напиши жалобу этот отдел полиции можешь потому что строчишь россии печалька если имелись основания для доставление вас отдел полиции например вас отсутствовали документы удостоверяющие личность неповиновение законному распоряжению требованию сотрудника полиции связи исполнением ими обязанностей охране общественного порядка обеспечению общественной безопасности равно воспрепятствование исполнению ими служебных обязанностей вас могут привлечь административной ответственности коап рф данное правонарушение влечет наложение административного штрафа размере пятисот одной тысячи рублей административный арест срок пятнадцати суток,2025-03-02 21:02:59,4
мусора даже полицейские чучмеков так крутить так сразу руки брюки,2025-03-02 21:00:00,4
эко тебя пердак разворитило что мове наркоман разве разрешает это слюни подотри стыдно если имелись основания для доставление вас отдел полиции например вас отсутствовали документы удостоверяющие личность неповиновение законному распоряжению требованию сотрудника полиции связи исполнением ими обязанностей охране общественного порядка обеспечению общественной безопасности равно воспрепятствование исполнению ими служебных обязанностей вас могут привлечь административной ответственности коап рф данное правонарушение влечет наложение административного штрафа размере пятисот одной тысячи рублей административный арест срок пятнадцати суток,2025-03-02 20:51:10,4
именно полиция действовала правовом поле россия это кишлак тут тот прав кто орет кулаками машет если имелись основания для доставление вас отдел полиции например вас отсутствовали документы удостоверяющие личность неповиновение законному распоряжению требованию сотрудника полиции связи исполнением ими обязанностей охране общественного порядка обеспечению общественной безопасности равно воспрепятствование исполнению ими служебных обязанностей вас могут привлечь административной ответственности коап рф данное правонарушение влечет наложение административного штрафа размере пятисот одной тысячи рублей административный арест срок пятнадцати суток,2025-03-02 20:45:59,4
комментариях активно пытаются навязать что исходящие уст полицейского требования законны принципе поняли есть если человек форме любое требование заведомо законно обязан выполнять даже если вам велит подойти упасть отжаться отдаться оба конституция рф равенство всех перед законом это оказывается нужные полицейским вещи предлагаю предмет правоведение школ убрать,2025-03-02 20:41:58,4
полиция твоя ебаная гроша ломанного стоит это выбляди погонах оборотни сраные это зверье только делает что рыщет поисках палки им плевать твои права захотелось им пришьют получат премию сидеть будешь чем зря заслуги видел такие случаи типы реально пустого места уезжали уважать эту это расстреливать месте это правоохранители это ебаная мерзкая мафия погонах они заслуживают только смерти чтоб им вогом позвоночник вырвало паскуды бесполезные обратился ним поводу кражи масла масло дорогое тогда стоило сейчас стоит думаешь эти паскуды наши типов спиздивших канистру магазина тупо нам сообщили они соседнем городе раздирайтесь сами ахуенно они работают мрази они чистой воды выродки самые законченные нет никакого доверия этой блядской полицейской системе они блядовозами разобраться могут полулицы проститутки оккупировали им это выгодно подставным лицом надо делиться штраф где они лишь рубль имеют чем говоришь они ищут только тех кто розыске весом остальных им абсолютно когда убьют тогда приходите вот эти чертовы гнилые бездельники работают,2025-03-02 20:38:17,4
россии такой закон протокол месте гражданин обязан ехать отдел если конечно же проходит ориентировке если проходит обязаны ней ознакомить учите закон полицаи начните фз полиции,2025-03-02 20:37:47,4
никто имеют права сопротивляться полиции если действия полиции законны полиция действует соответствии регламентом случае если полиция действует регламенту ее действия незаконны тут этих мусоров разряд богов возвели вас вообще есть образование профильное чтобы утверждать что полиция действовала законно действии мусоров куча нарушений,2025-03-02 20:27:29,4
какому таком закону гражданин имеет право ехать отдел это какой страны закон уганде тогда было очень удобно преступникам если имелись основания для доставление вас отдел полиции например вас отсутствовали документы удостоверяющие личность неповиновение законному распоряжению требованию сотрудника полиции связи исполнением ими обязанностей охране общественного порядка обеспечению общественной безопасности равно воспрепятствование исполнению ими служебных обязанностей вас могут привлечь административной ответственности коап рф данное правонарушение влечет наложение административного штрафа размере пятисот одной тысячи рублей административный арест срок пятнадцати суток,2025-03-02 20:26:49,4
времена маскобесия видел сотрудники полиции остановки пихали уазик женщину которая была маски видимо отказывалась может данные представить еще тетка дико орала всю улицу трое полицейских ее пихали уазик зрелище было печальное,2025-03-02 20:21:36,4
граждане любой страны имеют права сопротивлятся полиции решается правовом поле нападением полицию этом случает было сопротивление полиции она это скорее получит уголовку правильно кишлак разбираться полицией нужно вежливо ужесточение общении полицией сейчас полицейских вообще что ставят всякая курица считает что имеет право нападать полицию ошибаетесь бот тут уже три часа же пишешь пластинку заело,2025-03-02 20:20:43,4
закону сотрудник полиции обязан составить протокол месте случае если это административное нарушение это явно хотите ехать отдел имеете право данном конкретном случае лицо нарушение стороны полиции выговоры лишение премии если снимет побои увольнение,2025-03-02 20:17:43,4
